Ordem;TIPO;Emissão;Data Inicio;Data Término;Médio;Item;Referência;Estabelecimento;Linha;Tipo Controle;Grupo Estoque;Tipo Ordem;Custeio Mat.;Custeio GGF;Custeio MOB;Moeda;Conta Contabil;Centro de Custo;Qtde. Original;Qtde. Produzida;Data;Esp;Tipo Transação;Deposito;Série;Documento;Seq. Operação;Qtde Requisição/Reporte;Rendimentos kg;Rendimentos %;Valor Material;Valor GGF;Valor MOB;Item2;Referencia;Unidade Medida;NMB;Descrição;Preco Fiscal;Data Requisição/Reporte;Funcionário;Centro Custo;Grupo Maq;Hr. Reporte;Tempo Homem/Máquina;GGF/MOB Batch;Mob Dir;;
64.555;MAT;05/03/2024;11/03/2024;14/03/2024;31/03/2024;26000116;;200;4;2 - Total;30;Reaproveitamento;Total Requisitado;Total Requisitado;Total Requisitado;00 - ;1320000001;;10.100,0000;0,0000;11/03/2024;RRQ;Ent;ALM;;64555;1;52,1400;0,0000;0,00%;511,2000;0,0000;0,0000;35006909;;KG;4;EKFLEX 483 - DIBP;0,0000;11/03/2024;;;;0,0000;0,0000;0,0000;;;
64.555;MAT;05/03/2024;11/03/2024;14/03/2024;31/03/2024;26000116;;200;4;2 - Total;30;Reaproveitamento;Total Requisitado;Total Requisitado;Total Requisitado;00 - ;1320000001;;10.100,0000;0,0000;11/03/2024;REQ;Sai;ALM;;64555;1;43,4500;0,0000;0,00%;517,0800;0,0000;0,0000;35007059;;KG;3;DISPONIL AES 60;0,0000;;;;;0,0000;0,0000;0,0000;;;
64.555;MAT;05/03/2024;11/03/2024;14/03/2024;31/03/2024;26000116;;200;4;2 - Total;30;Reaproveitamento;Total Requisitado;Total Requisitado;Total Requisitado;00 - ;1320000001;;10.100,0000;0,0000;11/03/2024;RRQ;Ent;ALM;;64555;1;43,4500;0,0000;0,00%;517,0800;0,0000;0,0000;35007059;;KG;3;DISPONIL AES 60;0,0000;11/03/2024;;;;0,0000;0,0000;0,0000;;;
64.555;MAT;05/03/2024;11/03/2024;14/03/2024;31/03/2024;26000116;;200;4;2 - Total;30;Reaproveitamento;Total Requisitado;Total Requisitado;Total Requisitado;00 - ;1320000001;;10.100,0000;0,0000;11/03/2024;REQ;Sai;ALM;;64555;1;60,8300;0,0000;0,00%;1.006,5500;0,0000;0,0000;36000007;;KG;2;HEXILENOGLICOL;0,0000;;;;;0,0000;0,0000;0,0000;;;
64.555;MAT;05/03/2024;11/03/2024;14/03/2024;31/03/2024;26000116;;200;4;2 - Total;30;Reaproveitamento;Total Requisitado;Total Requisitado;Total Requisitado;00 - ;1320000001;;10.100,0000;0,0000;11/03/2024;RRQ;Ent;ALM;;64555;1;60,8300;0,0000;0,00%;1.006,5500;0,0000;0,0000;36000007;;KG;2;HEXILENOGLICOL;0,0000;11/03/2024;;;;0,0000;0,0000;0,0000;;;
64.555;MAT;05/03/2024;11/03/2024;14/03/2024;31/03/2024;26000116;;200;4;2 - Total;30;Reaproveitamento;Total Requisitado;Total Requisitado;Total Requisitado;00 - ;1320000001;;10.100,0000;0,0000;11/03/2024;REQ;Sai;ALM;;64555;1;592,6580;0,0000;0,00%;1.478,2500;0,0000;0,0000;36000082;;KG;3;AMYZET 100;0,0000;;;;;0,0000;0,0000;0,0000;;;
64.555;MAT;05/03/2024;11/03/2024;14/03/2024;31/03/2024;26000116;;200;4;2 - Total;30;Reaproveitamento;Total Requisitado;Total Requisitado;Total Requisitado;00 - ;1320000001;;10.100,0000;0,0000;11/03/2024;RRQ;Ent;ALM;;64555;1;592,6580;0,0000;0,00%;1.478,2500;0,0000;0,0000;36000082;;KG;3;AMYZET 100;0,0000;11/03/2024;;;;0,0000;0,0000;0,0000;;;
64.555;MAT;05/03/2024;11/03/2024;14/03/2024;31/03/2024;26000116;;200;4;2 - Total;30;Reaproveitamento;Total Requisitado;Total Requisitado;Total Requisitado;00 - ;1320000001;;10.100,0000;0,0000;11/03/2024;REQ;Sai;ALM;;64555;1;17,3800;0,0000;0,00%;171,8800;0,0000;0,0000;36000174;;kg;5;ANTIESPUMANTE OTP 607;0,0000;;;;;0,0000;0,0000;0,0000;;;
64.555;MAT;05/03/2024;11/03/2024;14/03/2024;31/03/2024;26000116;;200;4;2 - Total;30;Reaproveitamento;Total Requisitado;Total Requisitado;Total Requisitado;00 - ;1320000001;;10.100,0000;0,0000;11/03/2024;RRQ;Ent;ALM;;64555;1;17,3800;0,0000;0,00%;171,8800;0,0000;0,0000;36000174;;kg;5;ANTIESPUMANTE OTP 607;0,0000;11/03/2024;;;;0,0000;0,0000;0,0000;;;
64.555;MAT;05/03/2024;11/03/2024;14/03/2024;31/03/2024;26000116;;200;4;2 - Total;30;Reaproveitamento;Total Requisitado;Total Requisitado;Total Requisitado;00 - ;1320000001;;10.100,0000;0,0000;11/03/2024;REQ;Sai;ALM;;64555;1;252,0100;0,0000;0,00%;1.363,2500;0,0000;0,0000;36000348;;KG;3;MERITENA 500;0,0000;;;;;0,0000;0,0000;0,0000;;;
