Estabel;Item;Refer;Descrição;Nr Ordem;Data Emissão;Data Término;Estado;Qt Prevista;Qt Produzida;ACA sem REQ;REQ sem ACA;ACA sem GGF;GGF sem ACA;ACA sem MOB;MOB sem ACA;RRQ Sem REQ Item cor.;Restrição GGF/MOB;Últ Movto;Sem movto há 30 dias;Tipo
200;26000690;;CQ-4260 BULK;65905;11/04/2024;22/04/2024;Finalizada;4000;4000;Não;Não;Não;Não;Sim;Não;Não;Não;19/04/2024;Não;Bulk
200;26000679;;CQ-4196 BULK;65906;11/04/2024;22/04/2024;Finalizada;5800;5800;Não;Não;Não;Não;Sim;Não;Não;Não;22/04/2024;Não;Bulk
200;26000679;;CQ-4196 BULK;65907;11/04/2024;22/04/2024;Finalizada;5800;5800;Não;Não;Não;Não;Sim;Não;Não;Não;23/04/2024;Não;Bulk
200;26000702;;CQ-4443 BULK;65924;11/04/2024;23/04/2024;Finalizada;1810;1810;Não;Não;Não;Não;Sim;Não;Não;Não;20/04/2024;Não;Bulk
200;26000780;;CQ-7023 BULK;65925;11/04/2024;23/04/2024;Finalizada;1503,45;1428,45;Não;Não;Não;Não;Sim;Não;Não;Não;20/04/2024;Não;Bulk
200;26000789;;CQ-7035 BULK;65926;11/04/2024;23/04/2024;Finalizada;2800;2648;Não;Não;Não;Não;Sim;Não;Não;Não;22/04/2024;Não;Bulk
200;26000789;;CQ-7035 BULK;65927;11/04/2024;23/04/2024;Finalizada;2859;2859;Não;Não;Não;Não;Sim;Não;Não;Não;23/04/2024;Não;Bulk
200;26000690;;CQ-4260 BULK;65929;11/04/2024;23/04/2024;Finalizada;4000;4000;Não;Não;Não;Não;Sim;Não;Não;Não;22/04/2024;Não;Bulk
200;26000679;;CQ-4196 BULK;65930;11/04/2024;23/04/2024;Finalizada;5800;5800;Não;Não;Não;Não;Sim;Não;Não;Não;23/04/2024;Não;Bulk
200;26000062;;C-142 BULK;65938;12/04/2024;21/04/2024;Finalizada;1550;1553,39;Não;Não;Não;Não;Sim;Não;Não;Não;18/04/2024;Não;Bulk
200;26000312;;C-5011 BULK;65939;12/04/2024;21/04/2024;Finalizada;2100;2130;Não;Não;Não;Não;Sim;Não;Não;Não;20/04/2024;Não;Bulk
200;26001004;;S-114/2 BULK;65940;12/04/2024;20/04/2024;Finalizada;3717;3717;Não;Não;Não;Não;Sim;Não;Não;Não;18/04/2024;Não;Bulk
200;26000353;;C-542 BULK;65941;12/04/2024;21/04/2024;Finalizada;10100;10239,35;Não;Não;Não;Não;Sim;Não;Não;Não;20/04/2024;Não;Bulk
200;26000973;;R-066 BULK;65945;12/04/2024;20/04/2024;Finalizada;6500;6460;Não;Não;Não;Não;Sim;Não;Não;Não;24/04/2024;Não;Bulk
200;26000566;;CQ-021SC BULK;65972;15/04/2024;20/04/2024;Finalizada;5800;5800;Não;Não;Não;Não;Sim;Não;Não;Não;18/04/2024;Não;Bulk
200;26000119;;C-2141 BULK;65973;16/04/2024;22/04/2024;Finalizada;1050;1070,47;Não;Não;Não;Não;Sim;Não;Não;Não;19/04/2024;Não;Bulk
200;26000318;;C-502 BULK;65974;16/04/2024;22/04/2024;Finalizada;10000;10151,83;Não;Não;Não;Não;Sim;Não;Não;Não;19/04/2024;Não;Bulk
200;26001028;;V-3845 BULK;65975;16/04/2024;21/04/2024;Finalizada;2050;2050;Não;Não;Não;Não;Sim;Não;Não;Não;19/04/2024;Não;Bulk
